Config;Fold;Accuracy;F1 Score;Mathious;Recall;Precision
;;;;;;
Size=128Grabcut=TrueBlur=FalseGamma=1.0EqHist=FalseRotate=FalseBrightness=1.0;1;0.0423572744014733;0.04197848643253252;0.037604826473104376;0.0423572744014733;0.05114640662522798
;;;;;;
Size=128Grabcut=TrueBlur=FalseGamma=1.0EqHist=FalseRotate=FalseBrightness=1.0;2;0.032535297728667895;0.02787556945662433;0.027560333398501127;0.032535297728667895;0.05120159403757872
;;;;;;
Size=128Grabcut=TrueBlur=FalseGamma=1.0EqHist=FalseRotate=FalseBrightness=1.0;3;0.03621853898096992;0.03326340354313935;0.0313480143261239;0.03621853898096992;0.03890541042097012
;;;;;;
Size=128Grabcut=TrueBlur=FalseGamma=1.0EqHist=FalseRotate=FalseBrightness=1.0;4;0.03314917127071823;0.03271809866557568;0.028294305646078415;0.03314917127071823;0.056077175904511445
;;;;;;
Size=128Grabcut=TrueBlur=FalseGamma=1.0EqHist=FalseRotate=FalseBrightness=1.0;5;0.0423572744014733;0.04278950880091533;0.037580167537897384;0.0423572744014733;0.05499730032782276
;;;;;;
Size=128Grabcut=FalseBlur=FalseGamma=1.0EqHist=FalseRotate=FalseBrightness=1.0;1;0.049723756906077346;0.048941234838593965;0.04501925092735114;0.049723756906077346;0.05962657451033103
;;;;;;
Size=128Grabcut=FalseBlur=FalseGamma=1.0EqHist=FalseRotate=FalseBrightness=1.0;2;0.04604051565377532;0.042226104094394666;0.04113959346214215;0.04604051565377532;0.060693488347215364
;;;;;;
Size=128Grabcut=FalseBlur=FalseGamma=1.0EqHist=FalseRotate=FalseBrightness=1.0;3;0.0374462860650706;0.036304427213208625;0.03268549979054095;0.0374462860650706;0.04547495163708589
;;;;;;
Size=128Grabcut=FalseBlur=FalseGamma=1.0EqHist=FalseRotate=FalseBrightness=1.0;4;0.041743400859422956;0.03842371133749097;0.03701774702761392;0.041743400859422956;0.04894117317419541
;;;;;;
Size=128Grabcut=FalseBlur=FalseGamma=1.0EqHist=FalseRotate=FalseBrightness=1.0;5;0.056511056511056514;0.05340546616802296;0.05175977901568033;0.056511056511056514;0.0640590302683956
;;;;;;
