image,value1,value2,value3,value4,label













































00670.jpg,97,49,455,326,2
00691.jpg,84,189,573,376,2
00858.jpg,139,416,1954,1149,2
01031.jpg,130,10,839,346,2
01034.jpg,115,63,817,324,2
01535.jpg,8,29,444,213,2
01891.jpg,56,95,627,368,2
02065.jpg,73,163,674,401,2
02314.jpg,18,63,445,267,2
02540.jpg,7,133,716,444,2
02669.jpg,13,256,769,532,2
03011.jpg,104,183,842,608,2
03267.jpg,16,115,445,269,2
03317.jpg,32,32,438,394,2
03537.jpg,45,68,426,253,2
03690.jpg,150,102,877,444,2
03767.jpg,36,40,261,174,2
03875.jpg,45,22,745,514,2
04011.jpg,68,93,440,317,2
04244.jpg,139,172,690,431,2
04486.jpg,60,166,614,425,2
04892.jpg,8,37,294,150,2
05259.jpg,179,177,753,452,2
05261.jpg,10,34,242,126,2
05295.jpg,30,16,430,215,2
05930.jpg,38,92,420,241,2
06061.jpg,434,441,1805,1126,2
06571.jpg,20,16,449,300,2
06624.jpg,23,134,619,349,2
06839.jpg,34,53,270,139,2
07897.jpg,18,141,603,367,2
07960.jpg,2,24,288,129,2
00002.jpg,36,116,868,587,3
00740.jpg,37,77,582,342,3
01214.jpg,3,47,296,183,3
01705.jpg,22,101,380,235,3
01716.jpg,60,91,588,373,3
01750.jpg,51,57,590,402,3
01870.jpg,178,424,1828,1090,3
02364.jpg,373,56,2663,1915,3
02491.jpg,47,154,598,369,3
02589.jpg,71,192,594,465,3
02663.jpg,14,84,627,398,3
02832.jpg,33,115,576,346,3
03030.jpg,35,12,448,331,3
03152.jpg,48,41,511,237,3
03169.jpg,84,13,562,311,3
03772.jpg,29,75,271,168,3
03871.jpg,47,100,605,371,3
03881.jpg,10,86,614,383,3
04588.jpg,15,9,468,408,3
04816.jpg,79,84,528,327,3
05052.jpg,83,93,686,425,3
05281.jpg,147,125,471,426,3
05333.jpg,189,174,800,542,3
05347.jpg,108,201,706,429,3
05434.jpg,54,107,543,344,3
05545.jpg,55,95,563,320,3
05748.jpg,26,49,477,288,3
05918.jpg,25,55,277,150,3
05967.jpg,14,67,482,302,3
06328.jpg,15,14,278,171,3
06406.jpg,1,1,1484,900,3
06516.jpg,18,84,478,307,3
06751.jpg,8,80,250,184,3
06784.jpg,1,66,619,339,3
06816.jpg,10,24,254,158,3
06974.jpg,52,46,487,247,3
07121.jpg,28,34,297,182,3
07175.jpg,283,298,1405,979,3
07346.jpg,13,115,787,440,3
07392.jpg,147,202,1066,629,3
07663.jpg,13,35,250,153,3
08005.jpg,131,124,537,329,3
08133.jpg,57,236,881,569,3
00392.jpg,62,220,992,667,4
00697.jpg,16,55,560,382,4
00920.jpg,56,23,776,372,4
01264.jpg,5,36,623,357,4
02124.jpg,9,97,493,252,4
02240.jpg,185,495,1497,964,4
02274.jpg,57,50,388,218,4
02913.jpg,13,46,488,295,4
03051.jpg,39,47,452,227,4
03102.jpg,14,135,605,445,4
03165.jpg,30,26,589,373,4
03238.jpg,62,149,560,323,4
03241.jpg,45,79,795,507,4
03243.jpg,51,71,588,375,4
03467.jpg,30,152,602,421,4
03512.jpg,147,215,1468,786,4
03607.jpg,58,146,943,553,4
03795.jpg,31,75,480,308,4
04349.jpg,33,182,617,386,4
04482.jpg,22,88,479,312,4
04511.jpg,107,261,893,610,4
05057.jpg,63,106,435,329,4
05125.jpg,42,170,591,389,4
05307.jpg,58,85,532,433,4
05324.jpg,23,94,402,269,4
05405.jpg,66,277,932,564,4
05979.jpg,73,86,441,306,4
06099.jpg,69,83,544,372,4
06145.jpg,48,59,612,432,4
06302.jpg,24,341,1001,696,4
06422.jpg,37,93,608,404,4
06614.jpg,39,29,470,286,4
07050.jpg,29,444,1253,928,4
07191.jpg,62,176,400,330,4
07214.jpg,2,50,617,488,4
07364.jpg,71,145,629,460,4
07445.jpg,69,8,432,325,4
07463.jpg,18,69,485,260,4
07661.jpg,66,114,597,407,4
07706.jpg,89,134,1194,699,4
07752.jpg,18,149,621,354,4
07916.jpg,78,153,594,421,4
00069.jpg,142,124,675,445,5
00151.jpg,8,37,294,150,5
00410.jpg,31,119,404,248,5
00424.jpg,22,83,415,322,5
00631.jpg,11,8,270,160,5
00700.jpg,93,101,404,274,5
00742.jpg,5,25,271,177,5
01134.jpg,68,48,235,162,5
01392.jpg,39,89,457,334,5
01972.jpg,37,67,237,168,5
02004.jpg,50,162,640,425,5
02111.jpg,20,7,239,174,5
02457.jpg,126,227,885,551,5
02670.jpg,19,63,307,170,5
02739.jpg,27,9,270,128,5
02843.jpg,34,53,270,139,5
02897.jpg,57,35,222,144,5
03054.jpg,20,216,562,391,5
03081.jpg,26,37,241,166,5
03127.jpg,25,56,450,316,5
03191.jpg,4,7,299,124,5
03417.jpg,45,62,247,190,5
03511.jpg,9,36,293,180,5
03641.jpg,118,78,599,419,5
03965.jpg,172,393,1713,1063,5
04338.jpg,33,67,404,283,5
04392.jpg,32,49,363,222,5
04470.jpg,19,49,283,191,5
04484.jpg,35,79,271,185,5
04651.jpg,26,118,1009,541,5
05128.jpg,15,58,246,139,5
06183.jpg,105,91,528,338,5
06292.jpg,36,185,990,629,5
06296.jpg,24,38,246,172,5
06313.jpg,7,74,292,200,5
06388.jpg,52,35,246,174,5
06774.jpg,115,507,2457,1658,5
06850.jpg,101,314,894,612,5
07450.jpg,20,45,252,153,5
08016.jpg,69,50,204,156,5
08127.jpg,38,29,380,177,5
